Scanned At,Library,File Name,Extension,Folder Path,Current Size (MB),Version Count,Versions Size (MB),Total Size (MB)
"2026-04-07 07:46:55","DPT-RM","Hotel Rate BB Rate MBUFF Issue. xlsx.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/ETC","0.018","0","0.000","0.018"
"2026-04-07 07:46:55","DPT-RM","Official notification of Pullman Bangkok King Power Refurbishment (April - August 2025).pdf","pdf","/sites/H6323_SPOF/DPT-RM/CHALIDA S/ETC","0.535","0","0.000","0.535"
"2026-04-07 07:46:55","DPT-RM","Room Relocation SEP 2025.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/ETC","0.022","2","0.041","0.063"
"2026-04-07 07:46:55","DPT-RM","ROOM BREAKDOWN AIR BUSAN 2024.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/ETC","0.022","0","0.000","0.022"
"2026-04-07 07:46:55","DPT-RM","Room Alloction.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/ETC","0.307","0","0.000","0.307"
"2026-04-07 07:46:55","DPT-RM","Selling rate Structure.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/ETC","0.036","0","0.000","0.036"
"2026-04-07 07:46:55","DPT-RM","Accor Plus .xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/ETC","0.030","0","0.000","0.030"
"2026-04-07 07:46:55","DPT-RM","Rates offer.txt","txt","/sites/H6323_SPOF/DPT-RM/CHALIDA S/ETC","0.002","0","0.000","0.002"
"2026-04-07 07:46:55","DPT-RM","RSVN - LQA Action Plan.pptx","pptx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/ETC","4.481","0","0.000","4.481"
"2026-04-07 07:46:55","DPT-RM","BUDGET 2026.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/ETC","0.023","0","0.000","0.023"
"2026-04-07 07:46:55","DPT-RM","Hotel Rate BB Rate MBUFF Issue. on 21.11.2025.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/ETC","0.057","0","0.000","0.057"
"2026-04-07 07:46:55","DPT-RM","Long Stay at Pullman Bangkok King Power V.1.pptx","pptx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/ETC","7.550","0","0.000","7.550"
"2026-04-07 07:46:55","DPT-RM","Offcial notification of Pullman Bangkok King Power Refurbishment (April - August 2025).docx","docx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/ETC","0.075","0","0.000","0.075"
"2026-04-07 07:46:55","DPT-RM","Official_ Pullman Bangkok King Power Refurbishment (April - August 2025).pdf","pdf","/sites/H6323_SPOF/DPT-RM/CHALIDA S/ETC","0.470","0","0.000","0.470"
"2026-04-07 07:46:55","DPT-RM","Forecast reservation expense.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/ETC","0.026","0","0.000","0.026"
"2026-04-07 07:46:55","DPT-RM","Relocate guest 28.11.25.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/ETC","0.055","1","0.055","0.110"
"2026-04-07 07:46:55","DPT-RM","F_User ALPP Creation Form.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/ETC","0.029","2","0.054","0.083"
"2026-04-07 07:46:55","DPT-RM","OTB & Pick up by CN as od 11.02.25.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/ETC","0.023","0","0.000","0.023"
"2026-04-07 07:46:55","DPT-RM","Rtae & Room Size Comparison 2024.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/ETC","0.019","0","0.000","0.019"
"2026-04-07 07:46:55","DPT-RM","Accor Training.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/ETC","0.508","0","0.000","0.508"
"2026-04-07 07:46:55","DPT-RM","Business Impact Tracking (HRH Passisng) - Pullman Bangkok King Power. xlsx.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/ETC","0.020","0","0.000","0.020"
"2026-04-07 07:46:55","DPT-RM","Screenshot Room Avai.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/ETC","0.246","0","0.000","0.246"
"2026-04-07 07:46:55","DPT-RM","2024  Room Performance.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/ETC","0.036","0","0.000","0.036"
"2026-04-07 07:46:55","DPT-RM","Performace  OTAs Booking by Country.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/ETC","0.389","0","0.000","0.389"
"2026-04-07 07:46:56","DPT-RM","Hotel-Distribution-Report-2025-EN-1.pdf","pdf","/sites/H6323_SPOF/DPT-RM/CHALIDA S/GDS","5.320","0","0.000","5.320"
"2026-04-07 07:46:56","DPT-RM","H6323-Distribution Cost-2022 11_November_MTD.pdf","pdf","/sites/H6323_SPOF/DPT-RM/CHALIDA S/GDS","0.412","0","0.000","0.412"
"2026-04-07 07:46:56","DPT-RM","H6323-Distribution Cost-2022 09_September_MTD.pdf","pdf","/sites/H6323_SPOF/DPT-RM/CHALIDA S/GDS","0.412","0","0.000","0.412"
"2026-04-07 07:46:56","DPT-RM","H6323-Distribution Cost-2022 09_September_MTD.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/GDS","0.055","0","0.000","0.055"
"2026-04-07 07:46:56","DPT-RM","H6323-Distribution Cost-2023 5_MAY_MTD.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/GDS","0.047","0","0.000","0.047"
"2026-04-07 07:46:56","DPT-RM","H6323-Distribution Cost-2023 4_APRIL_MTD.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/GDS","0.054","0","0.000","0.054"
"2026-04-07 07:46:56","DPT-RM","H6323-Distribution Cost-2023 4_April MTD.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/GDS","0.054","0","0.000","0.054"
"2026-04-07 07:46:56","DPT-RM","H6323-Distribution Cost-2022 10_October_MTD.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/GDS","0.054","0","0.000","0.054"
"2026-04-07 07:46:56","DPT-RM","H6323-Distribution Cost-2022 10_October_MTD.pdf","pdf","/sites/H6323_SPOF/DPT-RM/CHALIDA S/GDS","0.412","0","0.000","0.412"
"2026-04-07 07:46:56","DPT-RM","H6323-Distribution Cost-2022 11_November_MTD.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/GDS","0.054","0","0.000","0.054"
"2026-04-07 07:46:56","DPT-RM","H6323-Distribution Cost-2023 4_APRIL_MTD.pdf","pdf","/sites/H6323_SPOF/DPT-RM/CHALIDA S/GDS","0.413","0","0.000","0.413"
"2026-04-07 07:46:56","DPT-RM","Pricing Indexation 25.3.24.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/FORM","0.095","0","0.000","0.095"
"2026-04-07 07:46:56","DPT-RM","F_Rooms Products Form 28.05.25-W-AA-H6323-RM.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/FORM","6.557","0","0.000","6.557"
"2026-04-07 07:46:56","DPT-RM","F_Request for sales conditions update DATA-E-306.xls","xls","/sites/H6323_SPOF/DPT-RM/CHALIDA S/FORM","7.962","0","0.000","7.962"
"2026-04-07 07:46:56","DPT-RM","F_Rooms Products Form 6.06.25.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/FORM","6.558","0","0.000","6.558"
"2026-04-07 07:46:56","DPT-RM","H6323 HOLIDAY 1_F_Loading form hotel - Package direct channels NPRA- DATA-E-337 update 26.7.23.xlsm","xlsm","/sites/H6323_SPOF/DPT-RM/CHALIDA S/FORM","0.082","0","0.000","0.082"
"2026-04-07 07:46:56","DPT-RM","F_Rooms Products Form 3.07.25.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/FORM","6.558","0","0.000","6.558"
"2026-04-07 07:46:56","DPT-RM","H6323 FAMILY PACKAGE_F_Loading form hotel - Package direct channels NPRA- DATA-E-337 update 28.04.25.xlsm","xlsm","/sites/H6323_SPOF/DPT-RM/CHALIDA S/FORM","0.077","0","0.000","0.077"
"2026-04-07 07:46:56","DPT-RM","Accor Plus_New Website Offer Loading Forms_ Pullman Bangkok King Power_March 2024 - Chalida Saipradist.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/FORM","5.483","0","0.000","5.483"
"2026-04-07 07:46:56","DPT-RM","H6323 HOLIDAY 1_F_Loading form hotel - Package direct channels NPRA- DATA-E-337 update (1).xlsm","xlsm","/sites/H6323_SPOF/DPT-RM/CHALIDA S/FORM","0.081","0","0.000","0.081"
"2026-04-07 07:46:56","DPT-RM","H6323 FESTIVE HOLIDAY 1_F_Loading form hotel - Package direct channels NPRA- DATA-E-337 update 30.10.23.xlsm","xlsm","/sites/H6323_SPOF/DPT-RM/CHALIDA S/FORM","0.077","0","0.000","0.077"
"2026-04-07 07:46:56","DPT-RM","Pricing Indexation Pullman Bangkok King Power 27.02.25.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/FORM","0.101","0","0.000","0.101"
"2026-04-07 07:46:56","DPT-RM","ALL Accor+ Explorer Hotel Offers_Marketing Submission Form for Website_Effective January 2026.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/FORM","16.385","2","32.767","49.152"
"2026-04-07 07:46:56","DPT-RM","Sales conditions update_8.04.25.xlsm","xlsm","/sites/H6323_SPOF/DPT-RM/CHALIDA S/FORM","11.493","0","0.000","11.493"
"2026-04-07 07:46:56","DPT-RM","Sales conditions update_8.04.25 updated.xlsm","xlsm","/sites/H6323_SPOF/DPT-RM/CHALIDA S/FORM","11.492","0","0.000","11.492"
"2026-04-07 07:46:56","DPT-RM","F_Rooms Products Form 10.06.25.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/FORM","6.557","0","0.000","6.557"
"2026-04-07 07:46:56","DPT-RM","DATA-E-306_Request_for_sales_conditions_update.xlsm","xlsm","/sites/H6323_SPOF/DPT-RM/CHALIDA S/FORM","1.259","0","0.000","1.259"
"2026-04-07 07:46:56","DPT-RM","F_Request for sales conditions update DATA-E-306.14.01.25xls.xls","xls","/sites/H6323_SPOF/DPT-RM/CHALIDA S/FORM","8.018","0","0.000","8.018"
"2026-04-07 07:46:56","DPT-RM","H6323 School Holidays package  1_F_Loading form hotel - Package direct channels NPRA- DATA-E-337 update 28.4.25.xlsm","xlsm","/sites/H6323_SPOF/DPT-RM/CHALIDA S/FORM","0.079","0","0.000","0.079"
"2026-04-07 07:46:56","DPT-RM","F_Hotel Use Offer Management (7) (2)_2023-06-26 10_01_44.xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/FORM","0.369","0","0.000","0.369"
"2026-04-07 07:46:56","DPT-RM","DELETE REMUN .xlsx","xlsx","/sites/H6323_SPOF/DPT-RM/CHALIDA S/FORM","0.042","0","0.000","0.042"
"2026-04-07 07:46:56","DPT-RM","H6323 HOLIDAY 1_F_Loading form hotel - Package direct channels NPRA- DATA-E-337 update 27.7.22.xlsm","xlsm","/sites/H6323_SPOF/DPT-RM/CHALIDA S/FORM","0.081","0","0.000","0.081"
"2026-04-07 07:46:56","DPT-RM","H6323 HOLIDAY 1_F_Loading form hotel - Package direct channels NPRA- DATA-E-337 update 13.3.23.xlsm","xlsm","/sites/H6323_SPOF/DPT-RM/CHALIDA S/FORM","0.079","0","0.000","0.079"
