Library,File Name,Extension,Folder Path,Current Size (MB),Version Count,Versions Size (MB),Total Size (MB),Last Datetime of Original Version,First Datetime of History Version,Age (Years),Priority,Recommended Action,Reason,Scanned At
DPT-SC,Rev.2 The Ambassador Cup 2023 - Happening28.0323.pptx,pptx,/sites/H6323_SPOF/DPT-SC/Event Headcount/Kae/BEO อย่าลบนะ/2023/04 Apr 23/1 Apr 23 POLO,111.049,0,0.0,111.049,2026-01-09 13:43:18,-,0.3,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB,2026-05-07 10:14:15
DPT-SC,I AMEND BEO 1232207 - 1232207.01 YVES ROCHER 14 Feb 2024.rtf,rtf,/sites/H6323_SPOF/DPT-SC/Event Headcount/Kate (Mintira)/Event 2024/BEO JAN-DEC 2024/February2024/14 Feb 24 YVES ROCHER,181.183,0,0.0,181.183,2026-01-09 13:43:21,-,0.3,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB,2026-05-07 10:15:15
DPT-SC,BEO 1232207.01 Dinner YVES ROCHER 14 Feb 24.rtf,rtf,/sites/H6323_SPOF/DPT-SC/Event Headcount/Kate (Mintira)/Event 2024/BEO JAN-DEC 2024/February2024/14 Feb 24 YVES ROCHER,167.907,0,0.0,167.907,2026-01-09 13:43:21,-,0.3,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB,2026-05-07 10:15:15
DPT-SC,BEO 1232207 YVES ROCHER Meeting on 14 Feb 24.rtf,rtf,/sites/H6323_SPOF/DPT-SC/Event Headcount/Kate (Mintira)/Event 2024/BEO JAN-DEC 2024/February2024/14 Feb 24 YVES ROCHER,179.903,0,0.0,179.903,2026-01-09 13:43:21,-,0.3,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB,2026-05-07 10:15:15
DPT-SC,AMEND I BEO 1224206 Private Birthday Party Khun Gong 29 Jan 24.rtf,rtf,/sites/H6323_SPOF/DPT-SC/Event Headcount/Kate (Mintira)/Event 2024/BEO JAN-DEC 2024/January2024/29 Jan 24 Private Birthday for K.Susana Tasniyom,148.03,0,0.0,148.03,2026-01-09 13:43:21,-,0.3,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB,2026-05-07 10:15:21
DPT-SC,h6323_beo_2column_fb_217184205.rtf,rtf,"/sites/H6323_SPOF/DPT-SC/Event info WD/Wedding Jan-New/2.CFM letter 2019/Nov 19/17 Nov 19,K.Phattrawadee-K.Puttisate/BEO Wedding",325.481,0,0.0,325.481,2025-02-21 10:43:03,-,1.2,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB,2026-05-07 10:17:08
DPT-SC,Nampeung + M trailer#3 SUB.mp4,mp4,"/sites/H6323_SPOF/DPT-SC/Event info WD/Wedding Jan-New/3.CFM letter 2020/Dec 20/6 Dec 20,EG&WD K.Ratiporn-K.Sirasit/รวม",312.367,0,0.0,312.367,2025-02-21 10:43:05,-,1.2,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB,2026-05-07 10:17:23
DPT-SC,h6323_beo_2column_fb_222699636.rtf,rtf,/sites/H6323_SPOF/DPT-SC/Event info WD/Wedding Jan-New/3.CFM letter 2020/Sep 20/27 Sep 20 K.Navaporn-K.Sanparith (Move from 31 May 20)/BEO Wedding,148.212,0,0.0,148.212,2025-02-21 10:43:05,-,1.2,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB,2026-05-07 10:18:03
DPT-SC,I AMEND BEO 1159718 D-63 Company Limited.rtf,rtf,/sites/H6323_SPOF/DPT-SC/May (Sangthip)/BEO/2023/3.March/23 D-63/I AMEND BEO 1159718 D-63 Company Limited,306.096,0,0.0,306.096,2023-11-21 09:29:36,-,2.5,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB,2026-05-07 10:23:37
DPT-SC,I AMEND BEO 1158205 ACCOR Plus Staff Party.rtf,rtf,/sites/H6323_SPOF/DPT-SC/May (Sangthip)/BEO/2023/3.March/24 ACCOR Staff Party/I AMEND BEO 1158205 ACCOR Plus Staff Party,231.41,0,0.0,231.41,2023-11-21 09:29:36,-,2.5,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB,2026-05-07 10:23:40
DPT-SC,GPX-DZ3-Signage-Register-A2.ai,ai,"/sites/H6323_SPOF/DPT-SC/May (Sangthip)/BEO/2024/7. July/24 - 26 GP SALE AND MARKETING CO., LTD/Signage",103.005,0,0.0,103.005,1980-01-01 00:00:00,-,46.4,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB,2026-05-07 10:25:59
DPT-SC,[MASTER DECK] JCU Conference Event 2025.pptx,pptx,/sites/H6323_SPOF/DPT-SC/May (Sangthip)/BEO/2025/5 MAY/26 - 31 James Cook University/28 - 29 May 2025 James Cook University,69.664,2,139.114,208.778,2025-05-21 09:06:24,2025-05-19 09:20:01,1.0,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB | Versions Size > 100 MB,2026-05-07 10:27:42
DPT-SC,A3 Floor Plan.pdf,pdf,/sites/H6323_SPOF/DPT-SC/May (Sunisa)/Profile/2025/07 Jul/AIS 7-8 Jul 25/Floor plan,146.579,0,0.0,146.579,2025-07-07 09:16:46,-,0.8,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB,2026-05-07 10:28:55
DPT-SC,29.04 UD Truck 260pax 5 course set + canape final Menu.docx,docx,/sites/H6323_SPOF/DPT-SC/BEO/BEO 2026/04 April/29/Ornprapha/29_UD Track/old,13.396,18,240.668,254.063,2026-04-27 16:40:55,2026-04-22 21:03:42,0.0,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB | Versions Size > 100 MB,2026-05-07 10:31:22
DPT-SC,BEO 1224459.03 ECPAT on 6 Mar 24 Day 3.rtf,rtf,/sites/H6323_SPOF/DPT-SC/Event Headcount/Kate (Mintira)/Event 2024/BEO JAN-DEC 2024/March2024/3-8 Mar 24 ECPAT International/BEO 4-7 Mar 24,115.593,0,0.0,115.593,2026-01-09 13:43:21,-,0.3,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB,2026-05-07 10:32:24
DPT-SC,Wedding BN_Final 14Nov2019.mp4,mp4,"/sites/H6323_SPOF/DPT-SC/Event info WD/Wedding Jan-New/2.CFM letter 2019/Nov 19/16 Nov 19,K.Thamonwan-K.Nummon/New folder/VDO Presentation",178.809,0,0.0,178.809,2025-02-21 10:43:03,-,1.2,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB,2026-05-07 10:33:20
DPT-SC,NP slide wedding.pptx,pptx,"/sites/H6323_SPOF/DPT-SC/Event info WD/Wedding Jan-New/3.CFM letter 2020/Dec 20/6 Dec 20,EG&WD K.Ratiporn-K.Sirasit/รวม/Photo presentation",184.956,0,0.0,184.956,2025-02-21 10:43:05,-,1.2,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB,2026-05-07 10:33:26
DPT-SC,JX slide show version 2 with song.avi,avi,/sites/H6323_SPOF/DPT-SC/Event info WD/Wedding Jan-New/3.CFM letter 2020/Feb 20/16 Feb 20 K.Natvadee-K.Chaiyasit/pic/VDO,104.754,0,0.0,104.754,2025-02-21 10:43:05,-,1.2,Medium,Review version history / compress,Total Size between 100 MB and 1024 MB,2026-05-07 10:33:28
